image-upload (CloudFormation Stack),CloudFormation,ap-southeast-2,4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,manages (IaC ownership),High,1,Bicep template already drafted in workspace,Stack owns API Gateway
vpc-013c0ebfccfefd966,VPC,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,network (default VPC – Lambda not in VPC),Low,1,Azure Functions Consumption plan runs outside VNet by default; no VNet integration needed,Lambda functions are NOT attached to the VPC; they use public S3 endpoints
6c852b32-93c4-4049-91fe-050814d33c10,KMS Key,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,encryption (not used – SSE-S3 default),Low,4,Azure Blob Storage uses Azure Key Vault CMK or Microsoft-managed key; verify if CMK required,KMS key exists in account but S3 bucket does not use it; bucket uses SSE-S3
appstream-app-settings-ap-southeast-2-535002891143-ar2b5jb0,S3,ap-southeast-2,AppStream 2.0 Service,AppStream,ap-southeast-2,belongs-to (residual – service not active),Low,5,Delete or retain; no Azure equivalent needed if AppStream not being migrated,Orphaned AppStream bucket; fleet was decommissioned
appstream2-36fb080bb8-ap-southeast-2-535002891143-hwzroy6c,S3,ap-southeast-2,AppStream 2.0 Service,AppStream,ap-southeast-2,belongs-to (residual – service not active),Low,5,Delete or retain; no Azure equivalent needed,Orphaned AppStream streaming bucket
Resource A,Type A,Region A,Resource B,Type B,Region B,Relationship,Criticality,Migration Order,Potential Issues,Notes
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,invokes (POST /upload),Critical,3,Must re-map HTTP routes; auth model changes from AWS_IAM/SigV4 to Azure APIM policy or SAS,Lambda proxy integration becomes Azure Function HTTP trigger
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,invokes (GET /files),High,3,Same route mapping concern as above,Supports optional query params: prefix / maxKeys
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,invokes (GET /files/{fileId}/view-url),High,3,Path param {fileId} mapping must be preserved in Azure APIM or Function routing,Returns time-limited pre-signed URL
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,invokes (DELETE /files/{fileId}),High,3,Path param {fileId} mapping,Deletes all S3 objects under prefix
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3 Bucket,ap-southeast-2,generate_presigned_post (write),Critical,2,AWS pre-signed POST → Azure SAS token; boto3 SDK → Azure Blob SDK; signature format differs,Max 10MB enforced by pre-signed policy; Azure SAS equivalent is user delegation SAS or service SAS
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3 Bucket,ap-southeast-2,list_objects_v2 + generate_presigned_url (read),High,2,list_objects_v2 ↔ BlobServiceClient.list_blobs; presigned GET ↔ Azure SAS blob read URL,Metadata stored as S3 object tags → Azure Blob metadata
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3 Bucket,ap-southeast-2,list_objects_v2 + generate_presigned_url (read),High,2,Same SDK translation as ListFiles,Returns first matching blob under fileId prefix
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3 Bucket,ap-southeast-2,delete_object (delete),High,2,s3.delete_object ↔ BlobClient.delete_blob; listing by prefix pattern differs slightly,Deletes all objects under {fileId}/ prefix
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-imagebucket-t8isnbr8sswv,S3 Bucket,ap-southeast-2,grants-access (S3 PutObject/GetObject/DeleteObject/ListBucket),Critical,1,AWS IAM role → Azure Managed Identity + RBAC; replace with Storage Blob Data Contributor role,All 4 Lambda functions share this role
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,assumed-by,Critical,1,Role assumed at function execution; Azure Functions use system-assigned managed identity,AWSLambdaBasicExecutionRole managed policy also attached (CloudWatch Logs access)
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,assumed-by,High,1,Same as above,
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,assumed-by,High,1,Same as above,
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,assumed-by,High,1,Same as above,
image-upload-api-user,IAM User,global,image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,authenticates-to (execute-api:Invoke),High,3,Static IAM access key in browser → must replace with Azure AD B2C / Entra External ID or SAS; significant auth model change,Long-lived static credential is a security risk in browser context
image-upload-websitebucket-vd866vxtcs1z,S3 Static Website,ap-southeast-2,image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,frontend-calls (SPA → API),High,3,SPA uses AWS SDK v4 signing; on Azure will switch to standard HTTPS calls or MSAL; CORS rules must be replicated on Azure APIM/Function,Front-end currently uses HTTP (no TLS); Azure Static Web Apps enforces HTTPS automatically
image-upload-ApiGatewayCloudWatchLogsRole-YGFCwY9oRVqq,IAM Role,global,image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,enables-logging,Low,3,Azure APIM uses Azure Monitor / Log Analytics natively; no equivalent role needed,Service role for CloudWatch log push
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,CloudWatch Logs,CloudWatch,ap-southeast-2,writes-execution-logs,Low,4,On Azure: Application Insights or Log Analytics replaces CloudWatch; log query language KQL vs CloudWatch Insights,API Gateway execution logs (INFO level)
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,CloudWatch Logs,CloudWatch,ap-southeast-2,writes-invocation-logs,Low,4,Azure Functions logs to Application Insights automatically; code changes minimal (print/logging calls work),
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,CloudWatch Logs,CloudWatch,ap-southeast-2,writes-invocation-logs,Low,4,Same as above,
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,CloudWatch Logs,CloudWatch,ap-southeast-2,writes-invocation-logs,Low,4,Same as above,
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,CloudWatch Logs,CloudWatch,ap-southeast-2,writes-invocation-logs,Low,4,Same as above,
image-upload (CloudFormation Stack),CloudFormation,ap-southeast-2,All application resources,Multiple,ap-southeast-2,manages (IaC),High,1,CloudFormation → Azure Bicep or ARM; already have Bicep templates in bicep-templates/,Stack manages Lambda + API GW + S3 + IAM resources
Resource A,Type A,Region A,Resource B,Type B,Region B,Relationship,Criticality,Migration Order,Potential Issues,Notes
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,invokes (POST /upload),Critical,2,Auth model change – AWS_IAM SigV4 → Azure equivalent (Managed Identity or API Management policy),Lambda proxy integration; must replicate route + auth in Azure APIM or Function App
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,invokes (GET /files),Critical,2,Auth model change,Same as above
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,invokes (GET /files/{fileId}/view-url),Critical,2,Auth model change,Pre-signed URL logic must change to Azure SAS token generation
image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,invokes (DELETE /files/{fileId}),High,2,Auth model change,Delete operation
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads/writes (PutObject + pre-signed URL),Critical,1,boto3 → azure-storage-blob SDK; pre-signed URL → SAS URL,S3 pre-signed PUT URL maps to Azure Blob Storage SAS URL
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads (ListBucket),Critical,1,boto3 → azure-storage-blob SDK; list_objects_v2 → list_blobs,Prefix-based filtering should work in Blob Storage
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads (GetObject + pre-signed URL),Critical,1,boto3 → azure-storage-blob SDK; pre-signed URL → SAS URL,1hr expiry URL maps 1:1
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes (DeleteObject),High,1,boto3 → azure-storage-blob SDK; delete_object → delete_blob,Straightforward mapping
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,assumed-by (sts:AssumeRole),Critical,1,IAM Role → Azure Managed Identity; inline S3 policy → Azure RBAC (Storage Blob Data Contributor),Managed Identity is the Azure equivalent; eliminates need for explicit credentials
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,assumed-by,Critical,1,IAM Role → Azure Managed Identity,Same as above
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,assumed-by,Critical,1,IAM Role → Azure Managed Identity,Same as above
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,assumed-by,Critical,1,IAM Role → Azure Managed Identity,Same as above
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,authorises (S3 inline policy),Critical,1,S3 resource policy → Azure RBAC on Storage Account,S3 ARN-scoped policy maps to container-level RBAC role assignment
image-upload-api-user,IAM User,global,image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,authenticates-via (execute-api:Invoke),High,3,IAM User + Access Key → Entra ID Service Principal or Managed Identity,Long-lived access keys are a security risk; Azure SP with certificate auth is preferred
image-upload-websitebucket-vd866vxtcs1z,S3 static website,ap-southeast-2,image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,calls (browser JS),High,3,CORS config must be replicated in Azure APIM / Function App,Frontend calls API – ensure CORS headers are configured in Azure equivalent
image-upload-websitebucket-vd866vxtcs1z,S3 static website,ap-southeast-2,(end users),Browser,-,serves (public HTML/JS),Medium,3,S3 static website → Azure Static Web Apps or Blob Storage static website,Public read bucket with index/error doc maps cleanly to Azure Static Web Apps
image-upload-ApiGatewayCloudWatchLogsRole-YGFCwY9oRVqq,IAM Role,global,image-upload-api (4lrh2l7i86),API Gateway REST,ap-southeast-2,authorises (CloudWatch logging),Low,4,No direct equivalent needed; Azure APIM uses built-in diagnostic logging,Can be omitted in Azure – diagnostics configured directly on APIM resource
image-upload CloudFormation stack,CloudFormation,ap-southeast-2,All image-upload resources,Multiple,ap-southeast-2,manages (IaC),High,0,CloudFormation → Bicep / Terraform,Template retrieved; convert to Bicep for Azure deployment
